name,capital,manager,is_national,phone_number,email,is_import_export,is_transport,is_real_estate,is_agrobusiness,is_restoration,is_investment,is_general_commerce,is_BTP
 jef  sarl-u.,1000000,MONSIEUR FEGHALI JEAN,True,+22890069348,-,True,False,False,False,False,False,True,False
top vitamins agro-lys sarl u .,1000000,-,True,+22822261052,-,True,False,False,False,False,False,True,False
entreprise de construction de maison et des briques (e.c.m. brique) .,1000000,-,True,+22822261052,-,False,False,False,False,False,False,False,False
 jaël international,1000000,-,True,+22890292042,-,False,False,True,False,False,False,False,False
-,1000000,-,True,+22890895793,idambag@yahoo.fr,False,False,True,False,False,False,False,True
complex global business (c.g.b.) sarl,1000000,-,True,,-,True,False,True,False,False,False,True,False
-,10000000,-,True,+22890051697,-,False,True,True,False,False,False,True,False
-,1000000,MONSIEUR JAAFAR MAHMOUD POUR,True,+22897788000,-,False,False,False,False,False,False,True,False
“ youbare & cheval blanc“ sarl,10000000,-,True,+22899450970,youbaremamoudou@yahoo.fr,True,True,True,False,False,False,True,False
-,1000000,MADAME KONLAMBIGUE GUINAM,True,+22890166595,-,True,False,True,False,False,False,True,False
clinique perpetuel secours sarlu.,1000000,MONSIEUR SEGBEAYA KOSSI EDENAM,True,+22899373009,-,False,True,True,False,False,False,False,False
societe bonheur et fils (sbf) sarl,1000000,MONSIEUR NANDJI BAGNIMBÉ POUR,True,+22890821651,-,False,True,True,False,False,False,False,True
graak  negoce international (g.n.i)  sarlu,1000000,MADAME TOGLO GRÂCE AKPÉDZÉ,True,+22822417731,-,False,False,True,False,False,False,True,False
-,1000000,-,True,+22897073400,-,False,False,True,False,False,False,False,True
-,1000000,-,True,+22822516959,-,False,False,True,False,False,False,False,False
 societe des technologies nouvelles et alternatives  (sotena)-sarl,2000000,-,True,+22823208844,-,False,False,True,False,False,False,False,False
 magnificat decor  sarl,moins de 1.000.000,MONSIEUR AMOUZOU PITALATAN,True,+22890893506,-,True,False,True,False,False,False,True,False
 radio mokpokpo  sarl-u,1000000,MONSIEUR ANANI DJOGBESSI,True,+22823321021,mokpokpofm@yahoo.fr,False,False,True,False,False,False,False,False
cite automobile du togo (c.a.t) s.a.r.l_u,10000000,MONSIEUR EL ZIBAOUI WALID,True,,-,False,False,True,False,False,False,True,False
btp & carrières sarl.,1000000,MONSIEUR TCHARE HODO-ABALO,True,+22890108343,-,False,False,True,False,False,False,False,False
togovision 3000 sa unipersonnelle.,10000000,MONSIEUR AMOUZOU TOKIDAHONGOU,True,+22825592012,-,False,False,True,False,False,False,False,False
 tridente  sarl,1000000,MONSIEUR CASAS COLLADO JOSÉ,True,+22893444020,-,False,False,False,False,False,False,False,False
 global invest groups  (gig)-sarl,1000000,-,True,+22822472387,-,False,False,True,False,False,False,False,False
 savorite pharmaceuticals togo- sarlu,1000000,-,True,+22897318018,ashokrawal6@rediffmail.com,True,False,True,False,False,False,True,False
 hervano immobilier ,1000000,MONSIEUR ATTIVI ASSIONGBON ADODO,True,+22822263123,-,False,False,True,False,False,False,False,False
 3 a services  sarl siege social,1000000,MONSIEUR LATÉ EDJONA LAWSON,True,+22822225386,etilaws@hotmail.com,True,False,False,False,False,False,True,False
delta tech s.a.r.l.,5000000,-,True,,-,True,False,False,False,False,False,True,False
 global invest groups  (gig)-sarl,1000000,-,True,+22822472387,-,False,False,True,False,False,False,False,False
société générale de commerce et de transit international et par abréviation s.g.c.t.i sarl .,2000000,-,True,+22822261052,-,True,True,False,False,False,False,True,False
société douamba assiobo et par abréviation s.d.a sarl .,10000000,-,True,+22822261052,-,True,True,False,False,False,False,True,False
‘’ transit le globe’’ sarl u,1000000,MONSIEUR AKAKPO ATTA,True,+22822219138,-,True,True,False,False,False,False,True,False
groupe international du commerce et par abréviation g.i.c sarl .,10000000,-,True,+22822261052,-,True,True,False,False,False,False,True,False
 societe univers voyages ,1000000,MADAME AKOSSIWA A,True,+22822216323,aquereburusyl@hotmail.com,False,True,True,False,False,False,False,False
univers nouveau siecle (u.no.s.) sarl,1000000,-,True,+22890042918,-,True,False,False,False,False,False,True,False
comptoir togolais pour l’etude et du controle ’’ s.a.u et par abréviation ctec sau,10000000,-,True,+22890709178,-,True,True,False,False,False,False,True,False
delta tech s.a.r.l.,5000000,-,True,,-,True,False,False,False,False,False,True,False
bio medical services sarl (bms),1000000,-,True,,-,True,False,False,False,False,False,False,False
groupe zenith sarl,5000000,-,True,+22890118935,-,True,False,False,False,False,False,True,False
societe africaine d'ingenierie et telecommunication (s.afr.i.tel.) sarl,1000000,-,True,+22822352585,-,False,False,False,False,False,False,False,False
giga consulting s.a.r.l.,moins de 1.000.000,-,True,,-,True,False,False,False,False,False,False,False
luft sarl,1000000,MONSIEUR KOUZAN KOSSI LOVI,True,+22822207566,-,False,False,False,False,False,False,True,False
metalex group togo sarl,2000000,MONSIEUR CLASS-TOSSOU TINOS,True,,-,False,False,False,False,False,False,False,False
societe orca sarl-u,1000000,MONSIEUR MOHAMAD WAZNI EST,True,+22893381188,-,True,True,True,False,False,False,True,True
“ el-bethel“ sarl,1000000,MADAME SOMOKO BALANTPLI MOUREY,True,+22822219138,-,True,True,True,False,False,False,True,False
k 2 c (group of company) sarlu .,1000000,-,True,+22822261052,-,True,False,False,False,False,False,True,False
sudito. sa,10000000,-,True,,-,False,False,False,False,False,False,True,False
‘’global logistics services’’ sarl u,1000000,-,True,+22890892547,-,True,True,False,False,False,False,True,False
-,10000000,MONSIEUR NATRAJAN SRINIVAS,True,+22890057047,-,False,False,True,False,False,False,False,False
-,1000000,MONSIEUR ADJRA EDEM KOSSI,True,+22890057047,-,False,False,True,False,False,False,False,False
societe inter multi sectorielle togo  en abrégée simus togo sarl,3000000,MONSIEUR LAWSON LATÉVI LAWE,True,+22822200531,-,True,False,True,False,False,False,False,True
 mi – woe  sarl u,1000000,MADAME TENU ABRA,True,+22890159854,-,False,False,False,False,False,False,True,False
 amc motors ,1000000,MONSIEUR OSSEILI AHMAD,True,+22822208090,notaire_azamatilydia@yahoo.fr,True,True,False,False,False,False,True,False
flourish shipping management,1000000,-,True,+22823365324,-,False,True,False,False,False,False,False,False
main dans la main,1000000,-,True,+22823365324,-,True,False,False,False,False,False,True,True
global empact group sarl,1000000,-,True,+22823365324,-,False,False,False,False,False,False,False,False
lome business school sarl,1000000,-,True,+22824456459,-,False,False,False,False,False,False,False,False
 construction batiment afrique togo  en abrégé  cobat ,1000000,MONSIEUR BOUAKA KOSSI,True,+22822208090,notaire_azamatilydia@yahoo.fr,True,True,False,False,False,False,True,True
‘’la germano – togolaise de communication et de mediation’’ (ger-to.co.m.) sarl u,1000000,-,True,+22890139125,-,False,False,False,False,False,False,False,False
bys sarl,1000000,MONSIEUR AGBODJAN H,True,+22890020611,-,False,False,False,False,False,False,True,False
 centurian consulting sarl,2000000,MONSIEUR WADE RODNEY COOPER,True,+22822263123,-,True,False,False,False,False,False,True,False
asi’nti consulting – sarl u,1000000,MONSIEUR KOTOKO EKLOU KWAMI,True,+22890058896,-,False,False,True,False,False,False,False,False
module africa sarl,3000000,MONSIEUR HUGUES CLAUDE PHILIPPE,True,,-,False,False,True,False,False,False,False,False
marc & mei global resources,10000000,MADAME MEI SHIANG KPONTON,True,,-,True,True,False,False,False,False,False,False
c. s.t. (centre samir tabchoury),1000000,MADEMOISELLE MYRNA TABCHOURY,True,,-,False,False,True,False,False,False,False,False
diag auto center (dac) - sarl u.,2500000,-,True,+22890042638,-,False,False,True,False,False,False,True,True
institut technique superieur la maîtrise (i.t.s. la maîtrise) sarl,1000000,MONSIEUR TOFFA-A,True,+22899493093,-,False,False,True,False,False,False,False,False
-,2000000,MONSIEUR AGBLO ROBERT,True,+22822270064,-,False,True,True,False,False,False,True,False
tesla ingenierie services afrique (tis afrique) sarl.,2000000,MADAME LAWSON LATRÉ DZIÉDZOM,True,+22890069348,-,False,False,False,False,False,False,True,True
 nord sud entreprises sarl.,3000000,MONSIEUR SARTRE ANDRÉ CHARLES,True,+22890069348,-,True,False,False,False,False,False,False,False
 delta forage et btp -sarl-u ,10000000,MONSIEUR POSSIAN EDOH KOFFI,True,,-,True,True,False,False,False,False,True,False
la société prend la dénomination de  la mosaïque du stade-sarl-u ,1000000,-,True,,-,False,False,False,False,False,False,True,False
la société prend la dénomination de  la mosaïque du stade-sarl-u ,1000000,-,True,,-,False,False,False,False,False,False,True,False
-,1000000,MONSIEUR KASSEGNE OLOU POUR,True,+22822209030,Me.Tsakadi@gmail.com,True,False,True,False,False,False,True,False
-,1000000,-,True,+22822209030,Me.Tsakadi@gmail.com,True,False,True,False,False,False,True,False
akegep import - export sarl,1000000,-,True,+22890229976,-,True,False,True,False,False,False,True,False
-,1000000,MONSIEUR MAMOUDOU-TANKO ISMAËL,True,+22890086154,-,True,False,True,True,False,False,True,False
-,1000000,MONSIEUR NEKERE AYOUBA,True,+22890132172,-,True,False,True,False,False,False,False,False
-,1000000,MONSIEUR VIMBERT CHARLES,True,+22893382855,-,False,True,True,False,False,False,True,False
-,1000000,MADAME KOUWONOU KOSSIWA,True,+22891985492,-,False,False,True,False,False,False,False,False
tntsat/ africa sa.,60000000,-,True,,-,False,False,True,False,False,False,False,False
societe lynx technologies sarl-u,1000000,MONSIEUR T,True,+22822565233,-,False,False,True,False,False,False,False,False
laboratoire de gestion de l’environnement- international (lge-international) sarl .,1000000,-,True,+22822261052,-,False,False,False,False,False,False,False,False
 akofa & emefa (a & e) – sarl,5000000,MONSIEUR KOMLAN ADODO AYAHO,True,+22892435923,-,True,False,True,False,False,False,True,False
,1000000,MADEMOISELLE YACOUBOU-BOUKARI AÏDAH,True,+22822611892,-,True,False,True,False,False,False,False,False
lentille communication sarl u,1000000,MONSIEUR LIGUE DIOBO PIERRE,True,+22897650108,-,False,False,True,False,False,False,True,False
"promotion de l’agriculture, l’elevage et protection des animaux de compagnie (aspaepac) sarl″u″",1000000,MONSIEUR SONHAYE ADOW SEIBOU,True,+22822517976,-,False,False,False,False,False,False,False,False
-,1000000,MONSIEUR LOOSEN STÉPHANE GHISLAIN,True,,-,False,False,True,False,False,False,False,False
-,1200000,-,True,+22822227076,-,True,False,True,False,False,False,True,False
 bati togo)- sarl,1000000,-,True,+22890040798,-,False,True,True,False,False,True,False,False
code pin multiservices sarl,1000000,-,True,+22822442538,-,False,False,True,False,False,False,True,False
-,1000000,MADEMOISELLE KPATCHA BIRENAM,True,+22890448248,-,True,False,True,False,False,False,False,False
 pro shoes  sarlu ;,1000000,MONSIEUR TAMAKLOE KOMI SITSOPÉ,True,+22822339466,-,False,True,True,False,False,False,True,False
-,2000000,MONSIEUR NAGNIMARI SONGUIPAL POUR,True,+22890979352,-,False,False,False,False,False,False,False,False
agence gardiennage d’intervention et de protection (a.g.i-protection) sarl .,2000000,-,True,+22822264873,-,False,False,False,False,False,False,False,False
-,1000000,-,True,+22892665247,-,False,False,True,False,False,False,False,False
sultan mohamad sarlu .,1000000,-,True,+22892375455,-,True,True,False,False,False,False,True,False
 gns  -sarl,1000000,-,True,+22890111571,-,False,False,True,False,False,False,False,True
 2 h aa conseil  ;,1000000,MONSIEUR AMEDEGNATKO ABEL HORACE,True,,-,False,False,True,False,False,False,False,False
bod trade and co sarlu .,1000000,-,True,+22822261052,-,True,True,True,False,False,False,True,False
nouvelle societe togolaise de corps gras (n-sotocog),20000000,-,True,+22822217748,-,True,False,False,False,False,False,True,False
-,1000000,MONSIEUR KOMOU KAO ESSOMÈZÈ,True,,-,False,False,True,False,False,False,True,False
fresh fish sarlu .,1000000,-,True,+22822261052,-,False,False,False,False,False,False,True,False
wan peng international en abrégée wapi sarl u,1000000,MONSIEUR CAI WEIFANG NOMMÉ,True,+22893494660,-,True,True,True,False,False,False,True,False
allosis sarl,1000000,MONSIEUR KELEVE KOKU SÉNA,True,+22890108343,-,True,False,True,False,False,False,True,False
 maison tvs-togo sarl.,2000000,MONSIEUR PONKORGO MOUSSA,True,+22890069348,-,True,False,False,False,False,False,False,False
 societe de transport et de multi-commerces (stmc) sarl.,2000000,MONSIEUR SEWOVON KOFFI ET,True,+22890069348,-,True,True,False,False,False,False,True,False
-,5000000,MONSIEUR FOLLY ANTONIN KOSSI,True,+22890747464,-,False,False,False,False,False,False,True,False
-,1000000,MADAME ALAPINI ADUKE MYRTILLE,True,+22890108343,-,False,False,True,False,False,False,False,False
world publi.com sarlu .,1000000,-,True,+22822261052,-,False,False,False,False,False,False,False,False
-,1000000,MONSIEUR KLEGBE KOFIVI,True,+22822209030,Me.Tsakadi@gmail.com,True,False,False,False,False,False,True,False
-,1000000,MONSIEUR JAAFAR MAHMOUD POUR,True,+22897788000,-,False,False,False,False,False,False,True,False
kvma sarlu,1000000,-,True,+22890108212,-,True,False,False,False,False,False,True,False
 comptoir industriel et services  sarl en abrégé (cis) sarl,1000000,MONSIEUR GBÊDONOUGBO CLAUDE GBAGUIDI,True,+22822250664,notairefolikae@yahoo.fr,False,False,True,False,False,False,True,False
 camusat togo  -sarl,1000000,-,True,+22892963984,-,False,False,True,False,False,False,True,True
-,20000000,MONSIEUR ZEIDAN ANTOINE,True,+22822223040,-,False,False,False,False,False,False,False,True
-,1000000,-,True,+22891337171,-,False,False,True,False,False,False,True,False
 ecole superieure des techniques appliquees en batiment (e.s.t.a. bat) sarl ,5000000,MONSIEUR AWAGA KOMLA SENYO,True,+22822517976,-,False,False,False,False,False,False,False,True
"promotion de l’agriculture, l’elevage et protection des animaux de compagnie (aspaepac) sarl″u″",1000000,MONSIEUR SONHAYE ADOW SEIBOU,True,+22822517976,-,False,False,False,False,False,False,False,False
-,1000000,MONSIEUR LOOSEN STÉPHANE GHISLAIN,True,,-,False,False,True,False,False,False,False,False
société comatrans sarl siege social,5000000,MONSIEUR BEGUEDOU TCHARA,True,,-,False,False,True,False,False,False,False,False
 hercule togo  sarl,1000000,MONSIEUR AZAGOUN DONATIEN,True,+22899965300,-,True,False,True,False,False,False,True,True
 maximum consulting sarlu ,2000000,MADAME GANGAN AFI,True,+22890358634,-,False,False,True,False,False,False,True,False
société focustecs sarl,1000000,MONSIEUR KPEKPASSI SÂ-BIR,True,+22822515053,-,False,False,True,False,False,False,False,False
 b2w société civile immobilière,1000000,-,True,,-,False,False,True,False,False,False,False,False
 groupe des entreprises de transport et de travaux publics  en abrégé  gettp  forme,50000000,MONSIEUR BOUAKA KOSSI,True,+22822208090,notaire_azamatilydia@yahoo.fr,True,True,True,False,False,False,True,True
russ sarlu.,1000000,-,True,+22822261052,-,False,False,True,False,True,False,True,False
-,1000000,-,True,+22892880488,-,False,False,True,False,False,False,True,False
société pegdwende sarlu,2000000,MONSIEUR DABOGO AROUNA,True,,-,False,False,True,False,False,False,True,False
-,1000000,-,True,+22897956550,-,False,False,True,False,False,False,True,False
-,5000000,-,True,+22898348352,-,False,True,True,False,False,False,False,False
-,1000000,-,True,+22822411569,-,False,False,True,False,False,True,False,False
-,1000000,-,True,+22890589293,-,False,False,True,False,False,False,True,False
l’amour de dieu et fils (ladif) sarlu .,1000000,-,True,+22822261052,-,False,True,True,False,False,False,True,True
socite  ambassadors sarl ,5000000,MONSIEUR GAFAN KOUGBLENOU MAURICE,True,+22890157630,-,False,True,True,False,False,False,True,False
groupe agence internationale la nouvelle grace en abréviation  g-ailng sarl,1000000,MONSIEUR ALFA WIYAOU,True,+22890033878,-,True,False,True,False,False,False,True,True
ingenierie de la construction du batiment et des travaux publics en abréviation  ic btp sarl,5000000,MADAME KALOU YENDOUPABE,True,+22890157630,-,False,False,False,False,False,False,False,True
societe lahdan refrigeration equipement trading en abréviation  lret sarl ,5000000,MONSIEUR MADJA KOFFI SEMEHO,True,+22890157630,-,True,False,False,False,False,False,True,False
-,10000000,-,True,+22890051697,-,True,False,False,False,False,False,True,False
-,10000000,-,True,+22822216954,-,True,False,False,False,False,False,True,False
societe  e & e corporation limited sarl ,1000000,MONSIEUR DOSSOU KOSSI ELOM,True,+22899170505,-,False,True,False,False,False,False,True,False
bureau d’economiste et de construction  (beco),1000000,MONSIEUR YAWO NAKU,True,+22822372966,-,False,False,True,False,False,False,True,True
 aventus-togo  sarl,1000000,MADAME MENSAH EDINAM,True,+22822517976,-,False,False,False,False,False,False,True,False
kina ker sarl u .,1000000,-,True,+22822261052,-,True,False,True,False,False,False,True,False
soelis rocher sarl .,1000000,-,True,+22822261052,-,True,False,True,False,False,False,True,True
la rose blanche pressing sarl .,1000000,-,True,+22822261052,-,False,False,False,False,False,False,False,False
tradehouse company sarl u,1000000,MONSIEUR KANDJA ESSOH,True,+22822207566,-,False,False,True,False,False,False,True,False
group valibert afrique  g.v.a.  sarl .,1000000,-,True,+22822261052,-,False,False,True,False,False,False,True,False
isaac trucks sarl .,1000000,-,True,+22822261052,-,True,True,False,False,False,False,True,False
-,1000000,-,True,+22898999425,-,False,False,True,False,False,False,False,False
 toïbah  - sarl u.,1000000,-,True,+22890134004,toibah7750@yahoo.com,True,False,True,False,False,False,True,False
emme effe service (mfs) sarl .,1000000,-,True,+22822261052,-,True,False,True,False,False,False,True,False
‘‘dios’’ s.a.r.l. u.,1000000,-,True,,garbanotaire@hotmail.fr,False,False,True,False,False,False,True,False
societe internationale de brique et forage (i.b.f) sarl .,1000000,-,True,+22822377696,-,False,False,True,False,False,False,True,False
-,1200000,MONSIEUR BARTHÉLEMY PODA,True,+22890251111,-,True,False,True,False,False,False,True,False
-,1000000,MONSIEUR SOWAH DOTÈ,True,+22890058896,-,False,False,True,False,False,False,False,False
-,1000000,MONSIEUR KOSSI MAWULI LEKPOR,True,+22890022533,-,False,True,True,False,False,False,False,False
-,1000000,-,True,+22890021303,gnasss60@gail.com,False,False,True,False,False,False,True,True
global business systems and solutions (gbs&s) sa.,10000000,-,True,+22890042225,-,False,True,True,False,False,False,False,False
-,10000000,MADAME KELI URSULA FAVIN,True,+22890103131,-,True,False,True,False,False,False,True,True
canada experts pro (c.e.p) sarl u .,1000000,-,True,+22822261052,-,False,False,True,False,False,False,True,False
 hentus  - sarl u.,1000000,-,True,+22893080882,-,False,False,True,False,False,False,True,False
 kekeli impex- sarl,1000000,-,True,+22890042355,-,True,False,True,False,False,False,True,False
carry joh - sarl u.,1000000,-,True,+22890040539,bakagas@yahoo.fr,True,False,True,False,False,False,True,False
société  multi service supply  (m.s.s.) sarl u,1000000,MONSIEUR MOUSSA ISSIAKA TCHEHOUNOU,True,+22899079267,-,True,False,True,False,False,False,False,False
société  groupe arche  sarl u,1000000,-,True,+22822463988,-,True,False,True,False,False,False,True,True
 depot de pharmacie dieu merci du camp f.i.r .,1000000,MONSIEUR SODOKPO-AFAN EMONGOU,True,+22822342934,-,False,False,False,False,False,False,True,False
 adm diffusion sarl.,1000000,-,True,+22890069348,-,True,False,False,False,False,False,False,False
entreprise sociale de marche commun (esmc) s.a.r.l.u,1000000,-,True,,-,False,False,False,False,False,False,False,False
atelier z - sarl.,2000000,MONSIEUR BEDZRA ZÉPHIRIN KOKOU,True,,-,False,False,True,False,False,False,True,False
 atp associates & partners -sarl,1000000,-,True,+22890910225,-,False,False,True,False,False,False,False,False
 canaan-negoce -sarl-u ,1000000,MONSIEUR LIBADIMANE ABDDERHAMANE MUGUE,True,,-,False,False,False,False,False,False,True,False
’mundo mentu intelligencia agency ‘’ sarlu et par abréviation mmi agency .,1000000,-,True,+22822261052,-,True,False,False,False,False,False,False,False
la societe  agence desco  sarlu,1000000,MONSIEUR AZOUMAH KOFFI MAWUFENYA,True,+22890033353,-,False,False,True,False,False,False,False,False
simpor trans- international (s.t.i) sarl .,2000000,-,True,+22822261052,-,True,True,False,False,False,False,True,False
"la société a pour dénomination sociale  danupemo  sarl, en abrégé  dp  sarl.",1000000,MONSIEUR ATTOH-MENSAH VIGNIKO,True,+22890069348,-,False,False,True,False,False,False,False,False
world business and engineering sarl et par abréviation wbe sarl .,1000000,-,True,+22891084912,-,True,False,True,False,False,False,True,False
j-s services sarl .,1000000,-,True,+22822261052,-,True,False,True,False,False,False,True,False
electric energy systems engineering ( eese) sarlu .,1000000,-,True,+22822261052,-,False,False,True,False,False,False,True,False
-,1000000,MONSIEUR ANANI CODJO SONA,True,+22890243801,-,True,False,True,False,False,False,True,False
-,10000000,-,True,+22822266234,-,False,False,True,False,False,False,False,False
-,10000000,-,True,+22822266234,-,True,False,True,False,False,False,False,False
 anapec sarl,5000000,MADEMOISELLE AYIVI SOKÉ AYÉLÉ,True,+22890763835,-,False,False,True,False,False,False,True,False
“gsc-building” sarl u et par abréviation gsc-b sarl u .,1000000,-,True,+22822326435,-,False,False,True,False,False,False,True,True
-,1000000,MONSIEUR TOVIHLON KOMLA ELOM,True,+22822209030,Me.Tsakadi@gmail.com,True,True,False,False,False,False,True,False
-,1000000,MADAME AZOGAN AFIAVI BEATRICE,True,+22822209030,Me.Tsakadi@gmail.com,True,True,False,False,True,False,True,False
-,1000000,MADAME BYLL ABLANBA DÉLALI,True,+22822209030,Me.Tsakadi@gmail.com,False,True,True,False,False,False,False,False
-,1000000,MADAME AZOGAN AFIAVI BEATRICE,True,+22822209030,Me.Tsakadi@gmail.com,False,False,True,False,False,False,False,False
-,1000000,MONSIEUR TOUDJI KOKOU,True,+22822626201,-,True,False,False,False,False,False,True,False
-,1000000,-,True,+22899485582,-,False,False,True,False,False,False,False,False
-,1000000,-,True,+22891368482,-,False,False,True,False,False,False,False,False
security & development consulting en abrégé s & d consulting,1000000,MADEMOISELLE BAGUISSOGA YAWA WENRÈBA,True,+22822410406,-,False,False,False,False,False,False,False,False
keris medical devices sarl.,1000000,MONSIEUR KOUTCHO KOMLAVI EDEM,True,+22822209030,Me.Tsakadi@gmail.com,False,False,False,False,False,False,False,False
keris trading afrika sarl.,1000000,MONSIEUR KOUTCHO KOMLAVI EDEM,True,+22822209030,Me.Tsakadi@gmail.com,False,False,False,False,False,False,False,False
-,1000000,MONSIEUR MC KAYE DOMINIC,True,+22892087033,-,False,False,True,False,False,False,True,False
inge-concept sarlu .,1000000,-,True,+22822261052,-,False,False,True,False,False,False,False,True
koura - mola incorporation (kmi) sarl .,1000000,-,True,+22822261052,-,True,True,True,False,False,False,True,False
xin gan xian telecoms engineering sarlu .,5000000,-,True,+22897988767,-,False,False,True,False,False,False,False,False
 agaphar sante sarl,1000000,MONSIEUR AGOUDAVI KODZO A,True,,etudalhadjis@yahoo.fr,False,False,True,False,False,False,False,False
west africa investment company s.a.u.,10000000,-,True,+22822209030,Me.Tsakadi@gmail.com,False,False,True,False,False,False,False,False
afre inter sarl sarl.,1000000,MONSIEUR ADAMOU ALI,True,+22822375601,-,False,False,True,False,False,False,True,False
alfa commerce group  en abrégé (alcg),1000000,MONSIEUR ANANI ALEXIS KODJO,True,+22890171660,notairefolikae@yahoo.fr,False,False,True,False,False,False,False,False
 canaan-negoce -sarl-u ,1000000,MONSIEUR LIBADIMANE ABDDERHAMANE MUGUE,True,,-,False,False,False,False,False,False,True,False
société agro-ressource-togo (art-sarl),2500000,MONSIEUR NABEDE ESSO-DONG,True,+22822425442,-,False,False,True,False,False,False,False,False
“gsc-building” sarl u et par abréviation gsc-b sarl u .,1000000,-,True,+22822326435,-,False,False,True,False,False,False,True,True
-,1000000,-,True,+22892581472,-,False,True,True,False,False,False,True,False
-,5000000,MONSIEUR KITZLER MICHAEL HERBERT,True,+22822207849,-,False,False,False,False,False,False,False,False
société  elco infra  sarlu,5000000,MADAME BEGUEDOU ESSOBILEOUA,True,+22822261163,elisecotrane@yahoo.fr,False,False,True,False,False,False,False,True
groupe paulina sarlu,1000000,-,True,+22822261052,-,False,True,True,False,False,False,True,False
groupe amitie fraternite et succes (gafs) sarl u,1000000,MONSIEUR BATCHASSI MAZABALO,True,+22890177651,-,False,False,True,False,False,False,True,False
societe tamawe  sarl u,1000000,MONSIEUR LANDOZI ISMAÏL,True,+22890225353,-,False,False,True,False,False,False,True,True
 paolina  sarl,10000000,MADAME BRUCE AHLIBA,True,+22890337600,-,False,False,True,False,False,False,True,False
societe annour general trading (sagt) sarlu.,moins de 1.000.000,MONSIEUR NOURDINE AITTIOUA,True,+22828222163,aquereburusyl@hotmail.com,True,False,True,False,False,False,True,False
ci-press sarl,5000000,-,True,+22822310893,-,False,False,False,False,False,False,False,False
 daxo data  sarlu,1000000,MONSIEUR MINYANOU KOFFI MESSAN,True,+22893103933,-,False,False,True,False,False,False,True,False
 filao services sarl ,1000000,MONSIEUR OLIVIER LEGROS,True,+22822223023,-,False,False,True,False,False,False,False,False
togo fondation speciale (tfs) sarlu  ;,1000000,MONSIEUR BOUVIER ALAIN CLAUDE,True,+22822567362,-,False,False,True,False,False,False,True,False
togo green energy sarl,1000000,-,True,+22822261052,-,False,False,False,False,False,False,False,False
 jordan distribution ,1000000,MONSIEUR DOGBA KOFFI GAMÉLÉ,True,+22822208090,notaire_azamatilydia@yahoo.fr,True,False,True,False,False,False,True,False
 aspacia sarl.,1000000,MADAME DOSSAVI AKOUVI,True,+22890069348,-,True,False,False,False,False,False,False,False
les chrysalides iii .,1000000,-,True,+22822261052,-,False,False,True,False,False,False,False,False
agro-togo export sarl.,2000000,MONSIEUR HENRY STANLY,True,+22890069348,-,True,False,False,False,False,False,False,False
togo pro systems sarl,moins de 1.000.000,-,True,+22822334779,-,False,False,False,False,False,False,False,False
-,5000000,-,True,+22822213106,-,False,False,True,False,False,False,True,False
-,1000000,-,True,+22897989581,-,False,False,True,False,False,False,True,False
-,1000000,-,True,+22822213106,-,False,False,True,False,False,False,True,False
 hdw – togo ,1000000,MONSIEUR GBEDJEHA JOSEPH EST,True,+22822208090,notaire_azamatilydia@yahoo.fr,True,False,True,False,False,False,True,False
institut des sciences et du management- armstrong (ism- armstrong) sarl .,1000000,-,True,+22822261052,-,False,False,False,False,False,False,False,False
